PointID,Defense_ID,DefenseNumber,Attack_ID,AttackNumber,PointValue
1,1001,1,2001,1,4
2,1002,2,2001,1,2
3,1003,3,2002,2,4
4,1004,4,2003,3,5
5,1005,5,2004,4,2
6,1006,6,2004,4,4
7,1007,7,2005,5,2
8,1008,8,2005,5,3
9,1009,9,2005,5,2
10,1010,10,2005,5,4
11,1011,11,2005,5,5
12,1012,12,2005,5,5
13,1012,12,2006,6,5
14,1004,4,2007,7,5
15,1001,1,2008,8,4
16,1013,13,2009,9,2
17,1014,14,2010,10,5
18,1013,13,2011,11,1
19,1015,15,2011,11,3
20,1016,16,2011,11,3
21,1017,17,2012,12,1
22,1018,18,2012,12,2
23,1019,19,2012,12,4
24,1020,20,2012,12,3
25,1007,7,2013,13,2
26,1008,8,2013,13,3
27,1009,9,2013,13,2
28,1010,10,2013,13,4
29,1011,11,2013,13,5
30,1012,12,2013,13,5
31,1007,7,2014,14,2
32,1008,8,2014,14,3
33,1009,9,2014,14,2
34,1010,10,2014,14,4
35,1011,11,2014,14,5
36,1012,12,2014,14,4
37,1006,6,2015,15,4
38,1006,6,2016,16,4
39,1014,14,2016,16,1
40,1018,18,2016,16,4
41,1033,33,2016,16,3
42,1004,4,2017,17,5
43,1004,4,2018,18,5
44,1013,13,2019,19,1
45,1021,21,2019,19,2
46,1022,22,2019,19,2
47,1013,13,2020,20,1
48,1014,14,2020,20,5
49,1015,15,2020,20,3
50,1016,16,2020,20,3
51,1014,14,2021,21,5
52,1015,15,2021,21,3
53,1014,14,2022,22,5
54,1018,18,2023,23,2
55,1019,19,2023,23,4
56,1020,20,2023,23,3
57,1023,23,2023,23,1
58,1008,8,2024,24,4
59,1009,9,2024,24,2
60,1004,4,2025,25,5
61,1004,4,2026,26,5
62,1013,13,2026,26,2
63,1024,24,2026,26,4
64,1007,7,2027,27,1
65,1018,18,2028,28,2
66,1019,19,2028,28,4
67,1020,20,2028,28,2
68,1023,23,2028,28,1
69,1004,4,2029,29,5
70,1015,15,2029,29,1
71,1018,18,2029,29,3
72,1013,13,2030,30,1
73,1014,14,2030,30,5
74,1015,15,2030,30,3
75,1016,16,2030,30,3
76,1014,14,2031,31,5
77,1015,15,2031,31,3
78,1014,14,2032,32,5
79,1016,16,2032,32,3
80,1020,20,2032,32,3
81,1008,8,2033,33,5
82,1010,10,2033,33,4
83,1012,12,2033,33,5
84,1024,24,2033,33,4
85,1025,25,2033,33,2
86,1006,6,2034,34,2
87,1019,19,2034,34,4
88,1020,20,2034,34,2
89,1004,4,2035,35,1
90,1013,13,2035,35,3
91,1013,13,2036,36,3
92,1019,19,2037,37,4
93,1020,20,2037,37,2
94,1023,23,2037,37,3
95,1004,4,2038,38,5
96,1027,27,2039,39,4
97,1028,28,2039,39,3
98,1013,13,2040,40,1
99,1023,23,2040,40,2
100,1025,25,2040,40,3
101,1032,32,2040,40,3
102,1014,14,2041,41,5
103,1016,16,2041,41,3
104,1020,20,2041,41,3
105,1011,11,2042,42,1
106,1029,29,2042,42,1
107,1030,30,2042,42,2
108,1031,31,2042,42,4
